지역명,연도,월,평당분양가격
전남,2017,4,6949.799999999999
경북,2017,4,7649.4
경남,2017,4,7923.299999999999
제주,2017,4,10965.9
서울,2017,5,21120.0
인천,2017,5,10860.3
경기,2017,5,11464.2
부산,2017,5,11711.7
대구,2017,5,10490.7
광주,2017,5,9537.0
대전,2017,5,9038.7
울산,2017,5,11807.4
세종,2017,5,9005.699999999999
강원,2017,5,6877.2
충북,2017,5,6765.0
충남,2017,5,7332.599999999999
전북,2017,5,7029.0
전남,2017,5,7144.5
경북,2017,5,7797.9
경남,2017,5,7979.4
제주,2017,5,11414.7
서울,2017,6,22001.1
인천,2017,6,10975.8
경기,2017,6,11513.7
부산,2017,6,11932.8
대구,2017,6,10711.8
광주,2017,6,9609.6
대전,2017,6,9038.7
울산,2017,6,11820.6
세종,2017,6,9018.9
강원,2017,6,7032.299999999999
충북,2017,6,6741.9
충남,2017,6,7504.2
전북,2017,6,7263.299999999999
전남,2017,6,7085.099999999999
경북,2017,6,7863.9
경남,2017,6,8065.2
제주,2017,6,10804.2
서울,2017,7,21690.9
인천,2017,7,10962.6
경기,2017,7,11975.7
부산,2017,7,11926.2
대구,2017,7,12771.0
광주,2017,7,9550.2
대전,2017,7,9035.4
울산,2017,7,11820.6
세종,2017,7,9018.9
강원,2017,7,7081.799999999999
충북,2017,7,6741.9
충남,2017,7,7507.5
전북,2017,7,7243.5
전남,2017,7,7085.099999999999
경북,2017,7,7860.599999999999
경남,2017,7,8134.5
제주,2017,7,11005.5
서울,2017,8,20367.6
인천,2017,8,10800.9
경기,2017,8,12015.3
부산,2017,8,11843.7
대구,2017,8,13180.2
광주,2017,8,9579.9
대전,2017,8,9035.4
울산,2017,8,11820.6
세종,2017,8,9022.2
강원,2017,8,7484.4
충북,2017,8,6765.0
충남,2017,8,7448.099999999999
전북,2017,8,7289.7
전남,2017,8,7306.2
경북,2017,8,8055.299999999999
경남,2017,8,8299.5
제주,2017,8,11005.5
서울,2017,9,21473.1
인천,2017,9,10896.6
경기,2017,9,11972.4
부산,2017,9,11860.2
대구,2017,9,12668.7
광주,2017,9,9718.5
대전,2017,9,9550.2
울산,2017,9,11820.6
세종,2017,9,9101.4
강원,2017,9,7375.5
충북,2017,9,6778.2
충남,2017,9,7448.099999999999
전북,2017,9,7322.7
전남,2017,9,7306.2
경북,2017,9,8015.7
경남,2017,9,8283.0
제주,2017,9,10632.6
서울,2017,10,21707.4
인천,2017,10,10890.0
경기,2017,10,11962.5
부산,2017,10,12285.9
대구,2017,10,12668.7
광주,2017,10,9609.6
대전,2017,10,9005.699999999999
울산,2017,10,11170.5
세종,2017,10,9104.7
강원,2017,10,7520.7
충북,2017,10,6798.0
충남,2017,10,7533.9
전북,2017,10,7200.599999999999
전남,2017,10,7606.5
경북,2017,10,7811.099999999999
경남,2017,10,8038.799999999999
제주,2017,10,10632.6
서울,2017,11,21968.1
인천,2017,11,10890.0
경기,2017,11,11738.1
