지역명,전용면적,연도,월,평당분양가격
서울,102m²~,2022,7,29412.9
충남,60m²~85m²,2020,10,8972.699999999999
서울,60m²~85m²,2024,2,34834.8
전북,85m²~102m²,2017,4,7659.299999999999
대구,모든면적,2020,4,15100.8
경북,60m²,2022,10,11140.8
세종,60m²~85m²,2024,1,
울산,60m²~85m²,2019,6,
전북,60m²,2024,5,12942.6
전북,102m²~,2017,1,7659.299999999999
광주,85m²~102m²,2017,4,9504.0
광주,60m²,2023,8,18001.5
강원,모든면적,2018,8,7669.2
세종,85m²~102m²,2020,6,
경북,60m²,2022,7,10952.7
울산,60m²,2020,7,12754.5
서울,85m²~102m²,2023,10,34749.0
충남,60m²~85m²,2019,3,8477.699999999999
제주,60m²,2019,10,12553.2
전남,85m²~102m²,2018,3,8669.1
충북,모든면적,2017,5,6765.0
부산,60m²,2023,7,22991.1
세종,85m²~102m²,2020,12,
울산,모든면적,2017,10,11170.5
전북,85m²~102m²,2020,8,8943.0
광주,60m²,2017,6,
부산,85m²~102m²,2018,10,14351.7
전북,모든면적,2016,1,6534.0
제주,102m²~,2017,4,12639.0
충남,60m²~85m²,2024,6,11847.0
울산,102m²~,2024,7,
전남,모든면적,2024,7,13101.0
인천,85m²~102m²,2022,2,20351.1
대구,60m²,2015,11,8259.9
광주,85m²~102m²,2024,3,14279.1
전북,60m²,2021,2,8408.4
제주,102m²~,2019,7,11883.3
제주,85m²~102m²,2022,7,19549.2
인천,60m²~85m²,2016,11,10404.9
충북,85m²~102m²,2016,4,7510.799999999999
광주,60m²,2020,6,12949.2
부산,60m²~85m²,2021,7,14440.8
대구,85m²~102m²,2020,7,16156.8
전남,102m²~,2020,3,12183.6
인천,60m²~85m²,2017,9,10913.1
세종,60m²~85m²,2015,12,8830.8
제주,85m²~102m²,2022,11,21908.7
대구,60m²,2016,11,10500.6
경기,102m²~,2022,3,15110.7
인천,60m²~85m²,2022,3,15186.6
경기,모든면적,2018,8,13431.0
세종,모든면적,2023,2,12279.3
경남,102m²~,2021,8,11635.8
인천,60m²,2017,11,10989.0
충남,85m²~102m²,2017,11,
전북,85m²~102m²,2020,5,9936.3
울산,모든면적,2016,10,10576.5
전남,102m²~,2024,5,15087.6
대구,60m²~85m²,2015,11,9259.8
세종,102m²~,2023,12,
전북,85m²~102m²,2019,3,10071.6
세종,102m²~,2016,11,8811.0
충남,102m²~,2018,2,7533.9
세종,85m²~102m²,2022,7,
경기,60m²,2017,12,12635.7
경남,모든면적,2016,11,7784.7
경북,60m²,2017,8,8269.8
광주,60m²~85m²,2020,3,12741.3
울산,85m²~102m²,2017,4,
강원,모든면적,2019,4,8362.199999999999
강원,모든면적,2021,7,9253.2
전남,102m²~,2022,5,11233.2
광주,60m²~85m²,2023,3,16434.0
광주,모든면적,2021,5,13978.8
전남,102m²~,2015,12,7180.799999999999
경남,60m²,2022,9,12365.1
충남,102m²~,2023,5,12833.7
충북,60m²~85m²,2015,12,6656.099999999999
서울,60m²~85m²,2019,6,28340.4
강원,102m²~,2024,5,17034.6
대구,60m²~85m²,2018,10,12549.9
경남,모든면적,2019,11,10563.3
강원,85m²~102m²,2016,11,6702.299999999999
경기,모든면적,2022,11,16585.8
강원,모든면적,2017,6,7032.299999999999
강원,60m²,2015,11,7563.599999999999
대구,85m²~102m²,2023,3,16457.1
전남,102m²~,2017,5,7613.099999999999
대전,85m²~102m²,2021,7,
강원,60m²,2021,7,10088.1
세종,60m²~85m²,2016,11,8939.699999999999
대구,60m²,2021,9,15325.2
대구,60m²~85m²,2020,2,14579.4
인천,60m²,2020,9,14935.8
경북,60m²~85m²,2023,3,12500.4
대전,60m²~85m²,2023,4,16011.6
충북,모든면적,2018,6,7873.799999999999
대전,모든면적,2023,1,15440.7
대전,60m²,2022,11,15321.9
세종,102m²~,2019,6,12972.3
부산,60m²~85m²,2017,12,12549.9
경북,모든면적,2023,11,13668.6
전남,85m²~102m²,2021,10,
경기,60m²,2020,9,13609.2
제주,60m²~85m²,2016,4,9081.6
부산,모든면적,2024,4,20116.8
서울,102m²~,2021,4,32118.9
경남,60m²~85m²,2018,4,8807.699999999999
광주,모든면적,2016,9,8979.3
제주,102m²~,2016,3,
인천,85m²~102m²,2023,5,15374.7
경기,60m²,2021,12,15024.9
대전,60m²~85m²,2023,12,16523.1
강원,102m²~,2017,8,7923.299999999999
경북,모든면적,2020,6,8807.699999999999
충남,60m²~85m²,2023,2,11942.7
광주,85m²~102m²,2018,8,
인천,60m²~85m²,2015,11,10292.7
대구,60m²~85m²,2019,1,13091.1
경기,60m²~85m²,2017,1,11576.4
인천,60m²,2022,8,16932.3
광주,85m²~102m²,2018,7,
서울,모든면적,2022,5,28215.0
부산,60m²~85m²,2018,8,13021.8
경남,85m²~102m²,2021,3,16064.4
전북,모든면적,2022,7,9995.7
전북,102m²~,2023,2,11058.3
부산,102m²~,2024,6,31904.4
