iter	Passed	Remaining
601	1905	1259
602	1908	1256
603	1910	1252
604	1913	1249
605	1916	1245
606	1918	1242
607	1922	1239
608	1924	1235
609	1927	1232
610	1930	1228
611	1932	1225
612	1936	1222
613	1939	1219
614	1942	1215
615	1945	1212
616	1947	1209
617	1950	1205
618	1953	1202
619	1956	1198
620	1958	1195
621	1961	1192
622	1964	1188
623	1967	1185
624	1971	1182
625	1974	1179
626	1977	1176
627	1979	1172
628	1982	1169
629	1986	1166
630	1989	1163
631	1992	1160
632	1995	1156
633	1998	1153
634	2002	1151
635	2006	1148
636	2009	1144
637	2012	1141
638	2015	1138
639	2018	1135
640	2021	1132
641	2024	1129
642	2027	1125
643	2030	1122
644	2034	1119
645	2038	1116
646	2040	1113
647	2043	1110
648	2046	1106
649	2049	1103
650	2052	1100
651	2055	1096
652	2057	1093
653	2060	1090
654	2064	1087
655	2067	1084
656	2070	1080
657	2073	1077
658	2076	1074
659	2079	1071
660	2082	1067
661	2085	1064
662	2088	1061
663	2091	1058
664	2095	1055
665	2098	1052
666	2101	1049
667	2104	1046
668	2107	1042
669	2110	1039
670	2113	1036
671	2116	1032
672	2119	1029
673	2122	1026
674	2125	1023
675	2128	1020
676	2131	1017
677	2134	1013
678	2137	1010
679	2140	1007
680	2144	1004
681	2147	1001
682	2150	998
683	2153	994
684	2156	991
685	2161	989
686	2164	985
687	2167	982
688	2169	979
689	2172	976
690	2175	973
691	2178	969
692	2182	966
693	2185	963
694	2188	960
695	2192	957
696	2195	954
697	2198	951
698	2202	948
699	2205	945
700	2208	942
701	2211	938
702	2214	935
703	2217	932
704	2220	929
705	2224	926
706	2226	922
707	2229	919
708	2232	916
709	2235	913
710	2238	909
711	2241	906
712	2243	903
713	2246	899
714	2248	896
715	2251	893
716	2255	890
717	2258	887
718	2261	883
719	2264	880
720	2266	877
721	2269	874
722	2272	870
723	2275	867
724	2278	864
725	2280	860
726	2283	857
727	2287	854
728	2290	851
729	2293	848
730	2295	844
731	2298	841
732	2301	838
733	2304	835
734	2307	831
735	2309	828
736	2312	825
737	2315	821
738	2319	819
739	2321	815
740	2324	812
741	2327	809
742	2329	805
743	2333	802
744	2335	799
745	2338	796
746	2341	793
747	2344	789
748	2346	786
749	2351	783
750	2354	780
751	2357	777
752	2360	774
753	2362	770
754	2366	767
755	2368	764
756	2371	761
757	2374	757
758	2376	754
759	2379	751
760	2383	748
761	2386	745
762	2389	742
763	2392	739
764	2395	735
765	2398	732
766	2401	729
767	2404	726
768	2407	723
769	2410	720
770	2414	717
771	2417	714
772	2420	710
773	2422	707
774	2425	704
775	2428	701
776	2431	697
777	2433	694
778	2436	691
779	2439	687
780	2441	684
781	2444	681
782	2448	678
783	2450	675
784	2453	671
785	2456	668
786	2458	665
787	2461	662
788	2464	659
789	2467	655
790	2470	652
791	2472	649
792	2475	646
793	2478	643
794	2481	639
795	2484	636
796	2487	633
797	2490	630
798	2493	627
799	2496	624
800	2498	620
801	2501	617
802	2504	614
803	2507	611
804	2510	608
805	2513	605
806	2516	601
807	2519	598
808	2521	595
809	2524	592
810	2527	589
811	2530	585
812	2533	582
813	2536	579
814	2538	576
815	2543	573
816	2546	570
817	2548	567
818	2551	563
819	2554	560
820	2557	557
821	2560	554
822	2563	551
823	2565	548
824	2568	544
825	2571	541
826	2575	538
827	2577	535
828	2586	533
829	2589	530
830	2592	527
831	2595	524
832	2598	521
833	2601	517
834	2605	514
835	2608	511
836	2611	508
837	2613	505
838	2616	502
839	2619	498
840	2622	495
841	2625	492
842	2627	489
843	2630	486
844	2633	483
845	2636	479
846	2639	476
847	2642	473
848	2645	470
849	2648	467
850	2650	464
851	2654	461
852	2656	457
853	2659	454
854	2662	451
855	2664	448
856	2667	445
857	2671	442
858	2673	438
859	2676	435
860	2679	432
861	2681	429
862	2685	426
863	2687	423
864	2690	419
865	2693	416
866	2695	413
867	2698	410
868	2701	407
869	2704	404
870	2707	401
871	2710	397
872	2713	394
873	2716	391
874	2719	388
875	2722	385
876	2724	382
877	2727	379
878	2730	375
879	2733	372
880	2737	369
881	2739	366
882	2742	363
883	2745	360
884	2748	357
885	2751	354
886	2754	350
887	2756	347
888	2759	344
889	2762	341
890	2765	338
891	2768	335
892	2771	332
893	2774	328
